char_index	inserted	raw_char	raw_codepoint	reason	page	context
1	□	c	U+0063	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
2	□	i	U+0069	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
3	□	t	U+0074	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
4	□	i	U+0069	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
5	□	n	U+006E	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
6	□	g	U+0067	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
8	□	a	U+0061	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
10	□	p	U+0070	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
11	□	a	U+0061	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
12	□	s	U+0073	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
13	□	s	U+0073	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
14	□	a	U+0061	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
15	□	g	U+0067	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
16	□	e	U+0065	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
18	□	o	U+006F	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
19	□	n	U+006E	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
21	□	t	U+0074	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
22	□	h	U+0068	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
23	□	e	U+0065	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
25	□	W	U+0057	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
26	□	e	U+0065	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
27	□	s	U+0073	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
28	□	t	U+0074	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
29	□	e	U+0065	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
30	□	r	U+0072	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
31	□	n	U+006E	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
33	□	Z	U+005A	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
34	□	h	U+0068	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
35	□	o	U+006F	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
36	□	u	U+0075	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
38	□	b	U+0062	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
39	□	r	U+0072	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
40	□	o	U+006F	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
41	□	n	U+006E	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
42	□	z	U+007A	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
43	□	e	U+0065	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
45	□	B	U+0042	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
46	□	u	U+0075	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
47	□	q	U+0071	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
48	□	i	U+0069	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
50	□	g	U+0067	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
51	□	u	U+0075	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
52	□	i	U+0069	disallowed_or_image_glyph	215	165.3 citing a passage on the Western Zhou bronze Buqi gui 不其簋.
