{|style="width:100%;background:transparent"
|-
|valign=top|

舊約
摩西一書創世記	（創）	計五十章
摩西二書出伊及記	（出）	計四十章
摩西三書利未記	（利）	計二十七章
摩西四書民數記	（民）	計三十六章
摩西五書申命記	（申）	計三十四章
約書亞	（書）	計二十四章
士師	（士）	計二十一章
路得	（得）	計四章
撒母耳上	（母上）	計三十一章
撒母耳下	（母下）	計二十四章
列王上	（王上）	計二十二章
列王下	（王下）	計二十五章
歷代上	（代上）	計二十九章
歷代下	（代下）	計三十六章
以斯拉	（拉）	計十章
尼希米	（尼）	計十三章
以斯帖	（帖）	計十章
約伯	（伯）	計四十二章
詩篇	（詩）	計百五十章
箴言	（箴）	計三十一章
傳道	（傳）	計十二章
所羅門歌	（歌）	計八章
以賽亞	（賽）	計六十六章
耶利米	（耶）	計五十二章
耶利米哀歌	（哀）	計五章
以西結	（結）	計四十八章
但以理	（但）	計十二章
何西阿	（何）	計十四章
約珥	（珥）	計三章
亞摩斯	（摩）	計九章
俄巴底亞	（俄）	計一章
約拿	（拿）	計四章
彌迦	（彌）	計七章
那鴻	（鴻）	計三章
哈巴谷	（哈）	計三章
西番雅	（番）	計三章
哈該	（該）	計二章
撒迦利亞	（亞）	計十四章
瑪拉基	（瑪）	計四章

新約
瑪太福音	（太）	計二十八章
瑪可福音	（可）	計十六章
路加福音	（路）	計二十四章
約翰福音	（約）	計二十一章
使徒行傳	（徒）	計二十八章
達羅瑪人書	（羅）	計十六章
達哥林多人前書	（哥前）	計十六章
達哥林多人後書	（哥後）	計十三章
達迦拉太人書	（加）	計六章
達以弗所人書	（弗）	計六章
達腓力比人書	（腓）	計四章
達歌羅西人書	（西）	計四章
達帖撒羅尼加前書	（撒前）	計五章
達帖撒羅尼加後書	（撒後）	計三章
達提摩太前書	（提前）	計六章
達提摩太後書	（提後）	計四章
達提多書	（多）	計三章
達腓利們書	（們）	計一章
達希伯來人書	（來）	計十三章
雅各書	（雅）	計五章
彼得前書	（彼前）	計五章
彼得後書	（彼後）	計三章
約翰第壹書	（約壹）	計五章
約翰第貳書	（約貳）	計一章
約翰第參書	（約參）	計一章
猶大書	（猶）	計一章
默示錄	（默）	計二十二章
