char_index	inserted	raw_char	raw_codepoint	reason	page	context
1	□	a	U+0061	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
2	□	n	U+006E	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
3	□	d	U+0064	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
5	□	c	U+0063	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
6	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
7	□	m	U+006D	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
8	□	m	U+006D	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
9	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
10	□	n	U+006E	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
11	□	t	U+0074	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
12	□	a	U+0061	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
13	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
14	□	y	U+0079	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
16	□	f	U+0066	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
17	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
18	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
20	□	a	U+0061	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
21	□	n	U+006E	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
22	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
23	□	t	U+0074	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
24	□	h	U+0068	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
25	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
26	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
28	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
29	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
30	□	a	U+0061	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
31	□	c	U+0063	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
32	□	l	U+006C	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
33	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
35	□	b	U+0062	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
36	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
37	□	n	U+006E	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
38	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
40	□	g	U+0067	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
41	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
42	□	a	U+0061	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
43	□	p	U+0070	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
44	□	h	U+0068	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
46	□	u	U+0075	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
47	□	s	U+0073	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
48	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
49	□	d	U+0064	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
51	□	t	U+0074	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
52	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
54	□	w	U+0077	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
55	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
56	□	i	U+0069	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
57	□	t	U+0074	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
58	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
60	□	t	U+0074	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
61	□	h	U+0068	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
62	□	e	U+0065	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
64	□	w	U+0077	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
65	□	o	U+006F	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
66	□	r	U+0072	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
67	□	d	U+0064	disallowed_or_image_glyph	222	87.1 and commentary for another oracle bone graph used to write the word 嘉.
