char_index	inserted	raw_char	raw_codepoint	reason	page	context
7	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
8	□	a	U+0061	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
9	□	y	U+0079	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
10	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
13	□	i	U+0069	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
14	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
16	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
17	□	y	U+0079	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
18	□	n	U+006E	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
19	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
20	□	n	U+006E	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
21	□	y	U+0079	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
22	□	m	U+006D	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
23	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
24	□	u	U+0075	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
25	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
27	□	w	U+0077	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
28	□	i	U+0069	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
29	□	t	U+0074	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
30	□	h	U+0068	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
32	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
33	□	h	U+0068	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
34	□	e	U+0065	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
38	□	“	U+201C	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
39	□	t	U+0074	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
40	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
42	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
43	□	h	U+0068	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
44	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
45	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
46	□	t	U+0074	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
49	□	w	U+0077	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
50	□	i	U+0069	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
51	□	t	U+0074	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
52	□	h	U+0068	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
54	□	b	U+0062	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
55	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
56	□	w	U+0077	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
58	□	a	U+0061	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
59	□	n	U+006E	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
60	□	d	U+0064	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
62	□	a	U+0061	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
63	□	r	U+0072	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
64	□	r	U+0072	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
65	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
66	□	w	U+0077	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
68	□	”	U+201D	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
71	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
